DeptId,ZipCode,NumberOfStations,ActivePersonnel
728,27295,1,33
729,45304,1,28
730,95519,3,22
731,46304,1,20
732,72206,2,23
733,88130,1,14
734,18403,1,36
735,43502,2,36
736,76351,1,25
737,27527,1,38
738,51231,1,18
739,56113,1,12
740,61910,2,26
741,46704,1,25
742,20148,2,35
743,15069,1,10
744,99114,3,38
745,73401,1,7
746,73401,3,30
747,57735,1,18
748,38449,1,30
749,10502,1,58
750,50605,1,12
751,53503,1,30
752,12455,1,12
753,62611,1,20
754,48451,1,17
755,35550,1,14
756,35173,2,27
757,54511,1,27
758,60439,1,24
759,46501,1,27
760,58005,1,25
761,53504,1,30
762,56713,1,25
763,76226,3,41
764,12809,1,41
765,48472,1,19
766,57730,2,22
767,32422,3,25
768,83214,1,13
769,17920,1,20
770,85601,1,21
771,85123,1,30
772,85007,5,30
773,85366,1,5
774,38618,2,31
775,71923,2,27
776,35033,2,18
777,67005,1,34
778,71630,1,16
779,14807,1,25
780,12406,1,25
781,59821,1,24
782,35541,2,18
783,22201,10,373
784,28642,1,27
785,38002,1,17
786,55307,1,24
787,02474,3,78
788,50606,1,18
789,98223,3,47
790,76011,17,301
791,97812,1,14
792,12603,4,95
793,61312,1,24
794,60004,4,109
795,68002,1,35
796,53911,1,27
797,45814,1,20
798,74864,1,20
799,57212,1,32
800,39663,1,13
801,66712,1,18
802,48005,1,30
803,15920,1,15
804,54646,1,25
805,61721,1,24
806,10504,1,50
807,14075,1,41
808,72310,2,23
809,25161,1,25
810,50514,1,20
811,65230,1,16
812,73832,1,23
813,15650,1,5
814,15068,1,35
815,69120,1,28
816,21012,1,15
817,51331,2,28
818,30628,1,18
819,60910,2,28
820,93940,1,7
821,35957,2,20
822,04750,2,15
823,75750,1,25
824,54410,1,22
825,87930,2,16
826,28333,1,31
827,37014,1,18
828,65320,1,7
829,92382,1,18
830,74425,1,18
831,55711,1,14
832,44629,1,33
833,76310,1,15
834,81220,1,12
835,04530,1,16
836,40903,2,20
837,88210,2,31
838,57314,1,35
839,51431,1,13
840,69121,1,17
841,61911,1,38
842,58006,1,15
843,98537,2,20
844,95913,1,20
845,04046,1,40
846,21054,1,74
