Id,ZipCode,Longitude,Latitude,NumberOfBeds,TraumaLevel,HasHelipad
9178,91403,-118.4495134,34.1602807,19,,True
9179,90806,-118.18545758,33.80817455,357,,True
9180,90232,-118.3970127,34.02350241,18,,False
9181,91402,-118.45666936,34.2204145600001,60,,False
9182,81301,-107.87115236,37.2490827300001,12,,False
9183,81050,-103.54957879,37.97806683,25,,True
9184,81611,-106.8395395,39.1903806500001,25,3.0,True
9185,80528,-105.00936069,40.5211229600001,29,,True
9186,80011,-104.8270392,39.7284112,120,,True
9187,80109,-104.88456375,39.4051195600001,90,3.0,True
9188,80906,-104.8162352,38.8023163400001,76,,False
9189,80112,-104.82378475,39.59418272,20,,True
9190,80027,-105.14795153,39.95191192,104,,False
9191,80027,-105.15178165,39.9519092200001,114,3.0,True
9192,80122,-104.98607382,39.57633122,231,2.0,True
9193,80907,-104.82233834,38.86520555,300,2.0,True
9194,80210,-104.974143,39.6704232000001,0,,True
9195,80228,-105.12928005,39.7162090400001,237,1.0,True
9196,80923,-104.717482,38.9386391100001,222,3.0,True
9197,81004,-104.62257768,38.23380336,408,3.0,True
9198,81212,-105.23094679,38.45529191,25,,True
9199,80129,-105.01001289,39.5573325,16,,True
9200,80534,-104.97518073,40.4045274900001,92,,False
9201,80020,-105.06819796,39.88763727,36,,False
9202,81521,-108.73666511,39.1636840400001,25,,False
9203,80236,-105.03242738,39.64106738,94,,False
9204,81003,-104.63060299,38.2889440500001,516,,False
9205,80701,-103.79547935,40.2600213800001,50,3.0,True
9206,81505,-108.61518639,39.10494171,60,3.0,False
9207,80113,-104.97858932,39.6542872700001,93,,True
9208,81416,-108.04701861,38.7449646200001,49,,True
9209,80204,-104.99097511,39.7282011400001,555,1.0,True
9210,80112,-104.82755155,39.5567824400001,96,,False
9211,80723,-103.64947821,40.25589605,25,,True
9212,80230,-104.89201866,39.7232211200001,72,,False
9213,80218,-104.96803105,39.7455849200001,36,,True
9214,80230,-104.8941775,39.7238004600001,24,,False
9215,80230,-104.89433434,39.7220527800001,29,,False
9216,80901,-104.81694722,38.8012936700001,0,,False
9217,80120,-105.00009816,39.57454183,60,,False
9218,80910,-104.79146875,38.8280758600001,64,,False
9219,80517,-105.51511239,40.37152286,23,,True
9220,80303,-105.23625162,40.01629753,167,2.0,True
9221,80026,-105.08655902,39.9705351700001,234,2.0,True
9222,81650,-107.77017877,39.52123318,25,,True
9223,81230,-106.92474584,38.5513953600001,24,,True
9224,80731,-102.63139823,40.6417925000001,25,,False
9225,81201,-106.00884678,38.5432124100001,25,,True
9226,80130,-104.90767313,39.5627578,86,,False
9227,80813,-105.1822323,38.7531342,0,,False
9228,80534,-104.97508863,40.4043987000001,92,,False
9229,80810,-102.35501131,38.8257277800001,25,,True
9230,80210,-104.97466465,39.67032342,28,,True
9231,80011,-104.82697382,39.72813068,37,,True
9232,80218,-104.964522,39.746336,81,,False
9233,80807,-102.270492,39.3031960000001,19,,False
9234,80821,-103.4737372,39.13843589,15,,True
9235,80501,-105.12665369,40.1821357700001,186,3.0,True
9236,80504,-105.05837006,40.16185088,57,3.0,True
9237,80033,-105.08992112,39.76847264,338,2.0,True
9238,80538,-105.05147836,40.4129916800001,118,3.0,True
9239,80012,-104.83192087,39.6900632800001,269,2.0,True
9240,80538,-104.9973755,40.41572467,174,2.0,True
9241,80734,-102.28990254,40.57927084,15,,True
9242,81625,-107.58011974,40.51849766,25,,True
9243,81301,-107.82626845,37.23602793,82,3.0,True
9244,80459,-106.39041389,40.05697157,18,,True
9245,80446,-105.925792,40.075728,7,,True
9246,81401,-107.86902127,38.48003993,75,3.0,True
9247,81082,-104.48761163,37.1732064,25,,True
9248,80206,-104.94205727,39.7391367700001,46,,False
9249,80631,-104.70857763,40.4145676200001,378,2.0,True
9250,80229,-104.98530648,39.8633858800001,157,2.0,True
9251,80534,-104.97130148,40.4064759500001,20,,False
9252,80534,-104.971311,40.406238,40,,False
9253,80228,-105.12986705,39.71620404,48,,True
9254,81147,-107.07831196,37.2521482500001,11,,True
9255,80401,-105.2046261,39.7272616000001,0,,False
9256,80204,-105.0349823,39.74359911,63,,False
9257,80138,-104.77102407,39.54820081,170,2.0,True
9258,81007,-104.7016949,38.3285812,0,,True
9259,81003,-104.61273633,38.2816371800001,350,2.0,True
9260,80923,-104.71296913,38.9374869800001,112,,False
9261,81641,-107.88126343,40.04640332,16,,True
9262,80601,-104.76919683,39.9647248800001,98,3.0,True
9263,80524,-105.05691757,40.5717845300001,255,3.0,True
9264,80218,-104.96678851,39.7472209900001,680,,True
9265,81052,-102.61012319,38.07060898,25,,True
9266,81648,-108.80686095,40.07878915,25,,True
9267,80238,-104.88225139,39.7814708400001,40,,False
9268,80112,-104.8636637,39.5600552000001,40,,False
9269,81132,-106.36392683,37.67431142,17,,True
9270,80220,-104.93450914,39.73197795,422,,True
9271,80218,-104.96992434,39.7458780700001,400,3.0,True
9272,81101,-105.88274238,37.472182,49,3.0,True
9273,81140,-105.96553353,37.2627940400001,17,,True
9274,80233,-104.98407333,39.91240745,8,,False
9275,80737,-102.26832422,40.99391889,15,,True
9276,80124,-104.8711824,39.5290899600001,284,2.0,True
9277,81073,-102.61228291,37.40437038,23,,False
9278,81321,-108.57452494,37.3622022000001,25,,True
9279,80011,-104.82747275,39.7310299600001,78,,False
9280,80218,-104.96798062,39.74664992,22,,True
9281,81089,-104.83117802,37.60051672,20,,True
9282,80023,-104.99114069,39.95659556,121,3.0,True
9283,80443,-106.07795417,39.56943684,35,3.0,True
9284,81501,-108.56357249,39.0905071600001,346,2.0,True
9285,80461,-106.30345296,39.24499904,25,,True
9286,80751,-103.22075862,40.6125290700001,25,3.0,True
9287,80113,-104.98054029,39.65385659,408,1.0,True
9288,80021,-105.091519,39.9105225700001,40,,False
9289,80918,-104.81688024,38.9108641400001,22,,False
9290,80634,-104.79053651,40.3909429600001,53,3.0,True
9291,80129,-105.00561838,39.5524962900001,93,3.0,True
9292,80863,-105.07371201,38.9743439600001,15,,True
9293,80487,-106.81485813,40.4632064200001,39,3.0,False
9294,80909,-104.79945361,38.8394666300001,583,1.0,True
9295,80920,-104.75473269,38.96684595,130,3.0,True
9296,80045,-104.84112208,39.7423045,678,1.0,True
9297,80045,-104.8420288,39.7426294000001,698,1.0,True
9298,81054,-103.1314526,38.07475319,0,,False
9299,80220,-104.93648196,39.7320120100001,0,,False
9300,81657,-106.381464,39.64366971,0,,
9301,81657,-106.38198523,39.64337027,56,3.0,True
9302,81601,-107.32210539,39.5323214800001,78,3.0,True
9303,80229,-104.9799113,39.85016211,54,,False
9304,80229,-104.9804143,39.8502597,31,,False
9305,81036,-102.78486743,38.4803197300001,25,,False
9306,81501,-108.52038175,39.07926073,64,,False
9307,80758,-102.23499661,40.07620337,16,,True
9308,80759,-102.73671118,40.12025952,12,,True
9309,06106,-72.6818001,41.75366781,185,,True
9310,06053,-72.80199357,41.6891819200001,228,,False
9311,06112,-72.69393602,41.80002111,60,,False
9312,06492,-72.85676125,41.4728847800001,137,,False
9313,06040,-72.5256751599999,41.7815081700001,249,,True
9314,06069,-73.48173833,41.88054263,78,,True
9315,06320,-72.10497646,41.3364517800001,280,,True
9316,06610,-73.16659472,41.1893773800001,501,3.0,True
9317,06706,-73.03671049,41.55320586,347,3.0,True
9318,06360,-72.08931881,41.5427735600001,213,3.0,True
9319,06260,-71.9144552,41.90665998,104,,True
9320,06790,-73.1331193199999,41.7918383000001,109,,True
9321,06052,-72.7877483999999,41.6610486700001,446,,True
9322,06010,-72.93551293,41.67634286,154,,True
9323,06032,-72.79058452,41.73076488,169,,True
9324,06904,-73.55312508,41.0550166900001,305,3.0,True
9325,06451,-72.80122911,41.5493917700001,156,,True
9326,06708,-73.0587052,41.55975885,357,3.0,True
9327,06457,-72.6475693799999,41.5543372600001,297,,True
9328,06418,-73.0892051399999,41.3356130000001,160,,False
9329,06810,-73.4461948599999,41.4050509,456,3.0,True
9330,06856,-73.42194562,41.11153017,366,3.0,True
9331,06226,-72.2263752599999,41.7173006400001,130,,True
9332,06510,-72.9354136599999,41.30469134,1541,1.0,True
9333,06106,-72.6821331,41.749671,0,,False
9334,06405,-72.83233261,41.2558933700001,52,,False
9335,06105,-72.69868009,41.77381387,617,1.0,True
9336,06830,-73.63029318,41.03382609,206,,False
9337,06076,-72.39088638,41.9801016800001,64,,True
9338,06066,-72.4512112899999,41.86660055,102,,True
9339,06606,-73.20170224,41.2010451800001,473,3.0,True
9340,06250,-72.1980114799999,41.7411039200001,57,,False
9341,06840,-73.46992282,41.1654062900001,129,,False
9342,06492,-72.8362394,41.4627059200001,80,,False
9343,06457,-72.6258903999999,41.55204,229,,False
9344,06117,-72.72927157,41.80292552,38,,False
9345,06810,-73.4471809999999,41.4043950000001,0,,True
9346,19901,-75.52369592,39.1507908,266,3.0,True
9347,19963,-75.391695,38.8869,152,3.0,False
9348,19958,-75.1432676699999,38.7717604700001,210,3.0,True
9349,19718,-75.66912143,39.6874860400001,906,1.0,True
9350,19899,-75.5496618,39.7514639,321,3.0,True
9351,19720,-75.57631556,39.70064567,200,,False
9352,19901,-75.4842601399999,39.15367085,104,,False
