Id,ZipCode,Longitude,Latitude,FullTimeOfficers,PartTimeOfficers,TotalActiveOfficers
223,40065,-85.2130369,38.21093969,23,0,23
224,42602,-85.13548276,36.69057164,5,1,6
225,40484,-84.65989804,37.52997885,9,0,9
226,49855,-87.3548265,46.4910047,4,3,7
227,40769,-84.16096381,36.74154323,12,0,12
228,40175,-85.98454148,37.8097937,6,3,9
229,41046,-84.82286226,38.71635107,1,0,1
230,20850,-77.151639,39.0817924,57,0,57
231,04937,-69.5950394,44.58571344,12,6,18
232,04930,-69.29003308,45.02453453,6,5,11
233,42459,-87.9848395,37.54651093,4,0,4
234,48383,-83.5116601,42.6497777,27,0,27
235,04730,-67.8291269,46.1243541,14,6,20
236,48422,-82.62090761,43.27579725,6,0,6
237,04330,-69.7778205,44.3133958,22,9,31
238,04444,-68.84752495,44.7460709,11,3,14
239,42171,-86.20838703,37.05050716,1,0,1
240,47670,-87.56723005,38.35742285,17,2,19
241,48829,-85.0340255,43.4067394,0,3,3
242,66075,-94.7132836,38.1684231,3,0,3
243,40437,-84.81656814,37.47162777,1,0,1
244,40312,-83.92285502,37.86135516,2,0,2
245,48069,-83.1423824,42.4708336,6,1,7
246,48302,-83.281576,42.5780306,75,0,75
247,01073,-72.7288633,42.228844,7,12,19
248,50525,-93.7349429,42.7264494,8,3,11
249,96130,-120.6488793,40.4255349,31,0,31
250,94063,-122.2307306,37.4881227,334,0,334
251,93906,-121.6307325,36.7011,315,0,315
252,02743,-70.90860735,41.68289871,17,8,25
253,01730,-71.28283272,42.49275049,28,0,28
254,06269,-72.2605092,41.8097252,48,4,52
255,32303,-84.27903658,30.45830315,364,40,404
256,70776,-91.07885537,30.25931736,10,3,13
257,52242,-91.53588137,41.65885854,33,0,33
258,50003,-94.02027493,41.61698738,8,0,8
259,50020,-94.76522771,41.44470311,1,0,1
260,85706,-110.9376073,32.1204188,22,1,23
261,34243,-82.55180325,27.38712242,12,0,12
262,30080,-84.516843,33.88395871,1,2,3
263,30083,-84.23440631,33.78993829,4,0,4
264,30083,-84.19775306,33.79851682,83,0,83
265,93110,-119.777112,34.4450249,0,0,0
266,71019,-93.22184429,32.09460514,1,4,5
267,06708,-73.07299409,41.54979584,5,0,5
268,72455,-90.95110355,36.23977539,7,0,7
269,32118,-81.00354424,29.21875833,60,0,60
270,80045,-104.8425436,39.7461551,27,0,27
271,71115,-93.7062375,32.4268251,10,0,10
272,92019,-116.8282172,32.78856243,12,0,12
273,95449,-123.0592791,38.98014304,6,0,6
274,93012,-119.0429955,34.1631106,14,0,14
275,50109,-93.820601,41.760249,2,3,5
276,51004,-95.86500611,42.38851031,1,1,2
277,30563,-83.49589695,34.55741325,2,2,4
278,31907,-84.86855959,32.49017931,3,0,3
279,47631,-87.9339642,38.1299479,1,3,4
280,61025,-90.64361616,42.49288721,7,7,14
281,60914,-87.8882127,41.15932195,22,0,22
282,67758,-101.7523604,38.89793836,2,5,7
283,04861,-69.1956517,44.077225,0,0,0
284,67335,-95.55273287,37.26852162,5,2,7
285,19720,-75.5492723,39.6959542,50,0,50
286,49855,-87.4069497,46.5667387,22,0,22
287,40351,-83.42987183,38.18867719,16,0,16
288,19904,-75.557937,39.0899223,0,0,0
289,66112,-94.7485272,39.1221869,9,22,31
290,61265,-90.4512004,41.4770909,9,8,17
291,21216,-76.6587321,39.3109584,20,0,20
292,20715,-76.75857485,39.02097102,14,0,14
293,61231,-90.7488879,41.2022289,7,1,8
294,60473,-87.6188674,41.6064344,10,4,14
295,60402,-87.7870019,41.8211424,16,0,16
296,60010,-88.1481019,42.2331882,0,14,14
297,60010,-88.2047164,42.2417114,1,5,6
298,62088,-89.78937035,39.01160522,7,10,17
299,60425,-87.6135379,41.5450142,20,2,22
300,62801,-89.13375728,38.52556184,27,0,27
301,60031,-87.9154071,42.3612155,63,0,63
302,61064,-89.57723387,41.9858915,3,10,13
303,30901,-81.9600455,33.4660608,449,0,449
304,30523,-83.5336409,34.6111549,32,5,37
305,31901,-84.99153912,32.46348582,228,35,263
306,31032,-83.5321128,33.0054399,43,0,43
307,31305,-81.45772075,31.41257889,42,0,42
308,30116,-85.0463783,33.5686653,99,3,102
309,39866,-84.5992923,31.5383145,6,0,6
310,30523,-83.52522732,34.61709225,1,1,2
311,31036,-83.4690214,32.2829906,12,2,14
312,30810,-82.5945967,33.2331133,2,3,5
313,30601,-83.3746121,33.9600973,128,0,128
314,31620,-83.4380066,31.1250772,22,0,22
315,39823,-84.9266658,31.3650434,26,0,26
316,30233,-83.9464211,33.2944581,39,0,39
317,31001,-83.30583617,31.99266182,8,1,9
318,30032,-84.2445268,33.7757445,325,2,327
319,31021,-82.9224043,32.4966938,61,0,61
320,31569,-81.7211705,30.9673947,47,0,47
321,30547,-83.4715006,34.3139451,31,0,31
322,31201,-83.6373152,32.8291853,290,0,290
323,30143,-84.447933,34.454123,47,1,48
324,31520,-81.496337,31.1539805,32,9,41
325,31794,-83.5177283,31.4545567,59,1,60
326,30286,-84.3401909,32.9378897,33,1,34
327,30824,-82.48250895,33.4566362,16,0,16
328,31006,-84.2367767,32.5575991,10,1,11
329,30113,-85.1804401,33.80180148,38,0,38
330,30501,-83.8250711,34.2950358,257,2,259
331,30582,-83.8288484,34.9841155,18,0,18
332,50574,-94.6688672,42.7371938,7,0,7
333,52537,-92.4159599,40.7508701,5,0,5
334,50213,-93.7845819,41.0702677,0,0,0
335,34221,-82.5778288,27.5209612,37,6,43
336,33823,-81.7892065,28.0640409,35,35,70
337,33851,-81.6215802,28.0426474,6,1,7
338,32096,-82.75925313,30.33602772,3,4,7
339,33852,-81.3642654,27.2974139,8,6,14
340,33881,-81.7273188,28.0350644,79,4,83
341,33432,-80.0889744,26.3517749,188,0,188
342,32344,-83.87124484,30.5446217,9,4,13
343,33410,-80.104468,26.8334419,114,0,114
344,34217,-82.6980745,27.4680932,10,0,10
345,34205,-82.5726551,27.4985619,122,0,122
346,33770,-82.7764642,27.9202407,140,0,140
347,32431,-85.37618571,30.79569963,3,2,5
348,33521,-82.06936849,28.80097549,2,1,3
349,32963,-80.372953,27.6917717,20,4,24
350,32433,-86.1146769,30.7217516,19,0,19
351,32320,-84.989753,29.723243,7,0,7
352,50319,-93.6010542,41.5912174,0,0,0
353,33844,-81.6406111,28.1145021,44,0,44
354,30236,-84.3470011,33.5386169,336,0,336
355,30145,-84.9479123,34.2355742,3,3,6
356,70775,-91.38630845,30.77501863,50,35,85
357,71342,-92.1323946,31.6855421,42,4,46
358,71282,-91.18739083,32.40826227,123,19,142
359,70112,-90.0761877,29.9513572,50,0,50
360,71241,-92.4049143,32.7736691,30,0,30
361,52501,-92.38204485,41.01019334,0,0,0
362,70615,-93.141241,30.2270933,592,0,592
363,70560,-91.8210459,30.0044889,242,7,249
364,71351,-92.0666496,31.1153684,159,166,325
365,70586,-92.2793721,30.6884346,20,9,29
366,70068,-90.4996587,30.0722426,150,0,150
367,70802,-91.18717256,30.44685273,359,486,845
368,71446,-93.26042106,31.14223658,64,5,69
369,71001,-92.92540937,32.54715771,31,5,36
370,51012,-95.5586549,42.775727,0,0,0
371,96120,-119.7792261,38.6941816,12,0,12
372,02339,-70.82393583,42.11394385,29,12,41
373,01077,-72.76838195,42.05380931,16,13,29
374,01520,-71.8741496,42.355113,23,5,28
375,01420,-71.79989852,42.58361368,79,0,79
376,01504,-71.5334757,42.0174372,16,0,16
377,01908,-70.9261321,42.4276299,12,15,27
378,01949,-71.02062615,42.59876905,13,15,28
379,01982,-70.87148758,42.61243726,15,10,25
380,02120,-71.0903975,42.3342883,2181,0,2181
381,02721,-71.14408245,41.6968181,237,0,237
382,01036,-72.4138993,42.064472,10,12,22
383,01826,-71.290587,42.67285,40,0,40
384,02653,-69.9876303,41.7813272,22,4,26
385,02666,-70.0741936,42.0220345,10,0,10
386,02330,-70.7682045,41.8884832,16,1,17
387,02642,-69.9732412,41.831258,15,8,23
388,01944,-70.77234719,42.57488906,14,10,24
389,71454,-92.8902139,31.6661651,0,3,3
390,70525,-92.2177736,30.40672925,18,3,21
391,70710,-91.2602216,30.3557254,8,8,16
392,71355,-91.9779262,31.0349684,2,7,9
393,70357,-90.2698151,29.3936046,3,2,5
394,70555,-92.1258867,30.1048481,5,0,5
395,70518,-91.9603854,30.1465955,23,0,23
396,70737,-90.91287779,30.23232802,34,1,35
397,70668,-93.5810752,30.1922963,12,0,12
398,70053,-90.05862484,29.91782178,93,7,100
399,70532,-92.6983105,30.4815448,8,2,10
400,71465,-92.24119249,31.90331249,4,1,5
401,70584,-92.10981255,30.34479948,1,1,2
402,70648,-92.84991935,30.48545092,17,0,17
403,71226,-92.45212811,32.30660572,1,1,2
404,70785,-90.8678648,30.4895988,17,7,24
405,71223,-91.6737133,32.9212041,1,2,3
406,71433,-92.5794246,30.9906252,1,2,3
407,70301,-90.8203768,29.7839746,52,0,52
408,70433,-90.09570619,30.47921857,40,0,40
409,70760,-91.4349004,30.6928751,22,6,28
410,70748,-91.21624894,30.83717634,5,19,24
411,70714,-91.16493845,30.58946338,37,0,37
412,70438,-90.15696734,30.85334676,16,0,16
413,70380,-91.1879712,29.6945684,56,0,56
414,70759,-91.59377946,30.73698896,0,3,3
415,71446,-93.2642785,31.14351754,28,2,30
416,70722,-91.01876476,30.86495545,7,9,16
