GeoID,ZipCode,MeanIncome
860Z200US01349,01349,71286.0
860Z200US01350,01350,121762.0
860Z200US01351,01351,102849.0
860Z200US01354,01354,112795.0
860Z200US01355,01355,97562.0
860Z200US01360,01360,117098.0
860Z200US01364,01364,68708.0
860Z200US01366,01366,116736.0
860Z200US01367,01367,101988.0
860Z200US01368,01368,108312.0
860Z200US01370,01370,90767.0
860Z200US01373,01373,126265.0
860Z200US01375,01375,80874.0
860Z200US01376,01376,74223.0
860Z200US01378,01378,107433.0
860Z200US01379,01379,87752.0
860Z200US01380,01380,112987.0
860Z200US01420,01420,89905.0
860Z200US01430,01430,123837.0
860Z200US01431,01431,138840.0
860Z200US01432,01432,131731.0
860Z200US01434,01434,135570.0
860Z200US01436,01436,94830.0
860Z200US01438,01438,76702.0
860Z200US01440,01440,80463.0
860Z200US01450,01450,229890.0
860Z200US01451,01451,297771.0
860Z200US01452,01452,118882.0
860Z200US01453,01453,107609.0
860Z200US01460,01460,179749.0
860Z200US01462,01462,131576.0
860Z200US01463,01463,152499.0
860Z200US01464,01464,139310.0
860Z200US01468,01468,123359.0
860Z200US01469,01469,124481.0
860Z200US01473,01473,129972.0
860Z200US01474,01474,132681.0
860Z200US01475,01475,105522.0
860Z200US01501,01501,121710.0
860Z200US01503,01503,143791.0
860Z200US01504,01504,117247.0
860Z200US01505,01505,178066.0
860Z200US01506,01506,104703.0
860Z200US01507,01507,142794.0
860Z200US01510,01510,104873.0
860Z200US01515,01515,99321.0
860Z200US01516,01516,170585.0
860Z200US01518,01518,133436.0
860Z200US01519,01519,183947.0
860Z200US01520,01520,161738.0
860Z200US01521,01521,109752.0
860Z200US01522,01522,124909.0
860Z200US01523,01523,141336.0
860Z200US01524,01524,111389.0
860Z200US01525,01525,
860Z200US01527,01527,128250.0
860Z200US01529,01529,127080.0
860Z200US01531,01531,114000.0
860Z200US01532,01532,220814.0
860Z200US01534,01534,157806.0
860Z200US01535,01535,111070.0
860Z200US01536,01536,125147.0
860Z200US01537,01537,98459.0
860Z200US01540,01540,123500.0
860Z200US01541,01541,190189.0
860Z200US01542,01542,120754.0
860Z200US01543,01543,157290.0
