Measure,ZipCode,Ratio,TotalPopulation
Visits to doctor for routine checkup within the past year among adults,43541,0.771,137
Depression among adults,43541,0.25,137
Housing insecurity in the past 12 months among adults,43541,0.12,137
Feeling socially isolated among adults,43541,0.325,137
Obesity among adults,43541,0.375,137
Current asthma among adults,43542,0.102,4443
Visits to doctor for routine checkup within the past year among adults,43542,0.814,4443
Depression among adults,43542,0.255,4443
Housing insecurity in the past 12 months among adults,43542,0.081,4443
Feeling socially isolated among adults,43542,0.345,4443
Obesity among adults,43542,0.357,4443
Current asthma among adults,43543,0.116,7364
Visits to doctor for routine checkup within the past year among adults,43543,0.783,7364
Depression among adults,43543,0.268,7364
Housing insecurity in the past 12 months among adults,43543,0.115,7364
Feeling socially isolated among adults,43543,0.321,7364
Obesity among adults,43543,0.426,7364
Current asthma among adults,43545,0.109,13954
Visits to doctor for routine checkup within the past year among adults,43545,0.796,13954
Depression among adults,43545,0.258,13954
Housing insecurity in the past 12 months among adults,43545,0.107,13954
Feeling socially isolated among adults,43545,0.317,13954
Obesity among adults,43545,0.42,13954
Current asthma among adults,43547,0.11,370
Visits to doctor for routine checkup within the past year among adults,43547,0.784,370
Depression among adults,43547,0.282,370
Housing insecurity in the past 12 months among adults,43547,0.105,370
Feeling socially isolated among adults,43547,0.368,370
Obesity among adults,43547,0.389,370
Current asthma among adults,43548,0.105,721
Visits to doctor for routine checkup within the past year among adults,43548,0.802,721
Depression among adults,43548,0.248,721
Housing insecurity in the past 12 months among adults,43548,0.087,721
Feeling socially isolated among adults,43548,0.303,721
Obesity among adults,43548,0.414,721
Current asthma among adults,43549,0.115,1359
Visits to doctor for routine checkup within the past year among adults,43549,0.779,1359
Depression among adults,43549,0.271,1359
Housing insecurity in the past 12 months among adults,43549,0.086,1359
Feeling socially isolated among adults,43549,0.302,1359
Obesity among adults,43549,0.442,1359
Current asthma among adults,43551,0.104,43235
Visits to doctor for routine checkup within the past year among adults,43551,0.789,43235
Depression among adults,43551,0.236,43235
Housing insecurity in the past 12 months among adults,43551,0.079,43235
Feeling socially isolated among adults,43551,0.303,43235
Obesity among adults,43551,0.331,43235
Current asthma among adults,43553,0.105,330
Visits to doctor for routine checkup within the past year among adults,43553,0.805,330
Depression among adults,43553,0.239,330
Housing insecurity in the past 12 months among adults,43553,0.092,330
Feeling socially isolated among adults,43553,0.31,330
Obesity among adults,43553,0.399,330
Current asthma among adults,43554,0.115,2413
Visits to doctor for routine checkup within the past year among adults,43554,0.781,2413
Depression among adults,43554,0.267,2413
Housing insecurity in the past 12 months among adults,43554,0.114,2413
Feeling socially isolated among adults,43554,0.322,2413
Obesity among adults,43554,0.429,2413
Current asthma among adults,43555,0.104,333
Visits to doctor for routine checkup within the past year among adults,43555,0.792,333
Depression among adults,43555,0.25,333
Housing insecurity in the past 12 months among adults,43555,0.091,333
Feeling socially isolated among adults,43555,0.319,333
Obesity among adults,43555,0.385,333
Current asthma among adults,43556,0.109,1762
Visits to doctor for routine checkup within the past year among adults,43556,0.785,1762
Depression among adults,43556,0.258,1762
Housing insecurity in the past 12 months among adults,43556,0.098,1762
Feeling socially isolated among adults,43556,0.321,1762
Obesity among adults,43556,0.414,1762
Current asthma among adults,43557,0.103,3161
Visits to doctor for routine checkup within the past year among adults,43557,0.751,3161
Depression among adults,43557,0.243,3161
Housing insecurity in the past 12 months among adults,43557,0.114,3161
Feeling socially isolated among adults,43557,0.327,3161
Obesity among adults,43557,0.413,3161
Current asthma among adults,43558,0.112,13088
Visits to doctor for routine checkup within the past year among adults,43558,0.798,13088
Depression among adults,43558,0.264,13088
Housing insecurity in the past 12 months among adults,43558,0.099,13088
Feeling socially isolated among adults,43558,0.332,13088
Obesity among adults,43558,0.415,13088
Current asthma among adults,43560,0.099,34204
Visits to doctor for routine checkup within the past year among adults,43560,0.817,34204
Depression among adults,43560,0.246,34204
Housing insecurity in the past 12 months among adults,43560,0.071,34204
Feeling socially isolated among adults,43560,0.337,34204
Obesity among adults,43560,0.339,34204
Current asthma among adults,43565,0.111,349
Visits to doctor for routine checkup within the past year among adults,43565,0.794,349
Depression among adults,43565,0.252,349
Housing insecurity in the past 12 months among adults,43565,0.088,349
Feeling socially isolated among adults,43565,0.311,349
Obesity among adults,43565,0.352,349
Current asthma among adults,43566,0.098,8371
Visits to doctor for routine checkup within the past year among adults,43566,0.818,8371
Depression among adults,43566,0.247,8371
Housing insecurity in the past 12 months among adults,43566,0.077,8371
Feeling socially isolated among adults,43566,0.343,8371
Obesity among adults,43566,0.343,8371
Current asthma among adults,43567,0.108,13240
Visits to doctor for routine checkup within the past year among adults,43567,0.784,13240
Depression among adults,43567,0.253,13240
Housing insecurity in the past 12 months among adults,43567,0.106,13240
Feeling socially isolated among adults,43567,0.325,13240
Obesity among adults,43567,0.412,13240
Current asthma among adults,43569,0.111,2628
Visits to doctor for routine checkup within the past year among adults,43569,0.783,2628
Depression among adults,43569,0.252,2628
Housing insecurity in the past 12 months among adults,43569,0.111,2628
Feeling socially isolated among adults,43569,0.322,2628
Obesity among adults,43569,0.37,2628
Current asthma among adults,43570,0.111,3152
Visits to doctor for routine checkup within the past year among adults,43570,0.782,3152
Depression among adults,43570,0.258,3152
Housing insecurity in the past 12 months among adults,43570,0.097,3152
Feeling socially isolated among adults,43570,0.315,3152
Obesity among adults,43570,0.404,3152
Current asthma among adults,43571,0.105,7753
Visits to doctor for routine checkup within the past year among adults,43571,0.811,7753
Depression among adults,43571,0.265,7753
Housing insecurity in the past 12 months among adults,43571,0.081,7753
Feeling socially isolated among adults,43571,0.347,7753
Obesity among adults,43571,0.367,7753
Current asthma among adults,43604,0.141,9248
Visits to doctor for routine checkup within the past year among adults,43604,0.809,9248
Depression among adults,43604,0.285,9248
Housing insecurity in the past 12 months among adults,43604,0.326,9248
Feeling socially isolated among adults,43604,0.416,9248
Obesity among adults,43604,0.536,9248
Current asthma among adults,43605,0.13,25007
Visits to doctor for routine checkup within the past year among adults,43605,0.791,25007
Depression among adults,43605,0.306,25007
Housing insecurity in the past 12 months among adults,43605,0.236,25007
Feeling socially isolated among adults,43605,0.4,25007
Obesity among adults,43605,0.483,25007
Current asthma among adults,43606,0.119,25671
Visits to doctor for routine checkup within the past year among adults,43606,0.805,25671
Depression among adults,43606,0.277,25671
Housing insecurity in the past 12 months among adults,43606,0.162,25671
Feeling socially isolated among adults,43606,0.396,25671
Obesity among adults,43606,0.397,25671
Current asthma among adults,43607,0.132,20494
Visits to doctor for routine checkup within the past year among adults,43607,0.823,20494
Depression among adults,43607,0.254,20494
Housing insecurity in the past 12 months among adults,43607,0.246,20494
Feeling socially isolated among adults,43607,0.412,20494
Obesity among adults,43607,0.479,20494
Current asthma among adults,43608,0.137,12948
Visits to doctor for routine checkup within the past year among adults,43608,0.818,12948
Depression among adults,43608,0.267,12948
Housing insecurity in the past 12 months among adults,43608,0.333,12948
Feeling socially isolated among adults,43608,0.414,12948
Obesity among adults,43608,0.542,12948
Current asthma among adults,43609,0.128,20519
Visits to doctor for routine checkup within the past year among adults,43609,0.796,20519
Depression among adults,43609,0.288,20519
Housing insecurity in the past 12 months among adults,43609,0.232,20519
Feeling socially isolated among adults,43609,0.405,20519
Obesity among adults,43609,0.473,20519
Current asthma among adults,43610,0.129,4159
Visits to doctor for routine checkup within the past year among adults,43610,0.838,4159
Depression among adults,43610,0.234,4159
Housing insecurity in the past 12 months among adults,43610,0.252,4159
Feeling socially isolated among adults,43610,0.397,4159
Obesity among adults,43610,0.498,4159
Current asthma among adults,43611,0.12,18505
Visits to doctor for routine checkup within the past year among adults,43611,0.802,18505
Depression among adults,43611,0.286,18505
Housing insecurity in the past 12 months among adults,43611,0.165,18505
Feeling socially isolated among adults,43611,0.38,18505
Obesity among adults,43611,0.428,18505
Current asthma among adults,43612,0.123,29718
Visits to doctor for routine checkup within the past year among adults,43612,0.793,29718
Depression among adults,43612,0.29,29718
Housing insecurity in the past 12 months among adults,43612,0.183,29718
Feeling socially isolated among adults,43612,0.394,29718
Obesity among adults,43612,0.443,29718
Current asthma among adults,43613,0.117,32116
Visits to doctor for routine checkup within the past year among adults,43613,0.792,32116
Depression among adults,43613,0.286,32116
Housing insecurity in the past 12 months among adults,43613,0.146,32116
Feeling socially isolated among adults,43613,0.382,32116
Obesity among adults,43613,0.415,32116
Current asthma among adults,43614,0.114,29866
Visits to doctor for routine checkup within the past year among adults,43614,0.817,29866
Depression among adults,43614,0.263,29866
Housing insecurity in the past 12 months among adults,43614,0.136,29866
Feeling socially isolated among adults,43614,0.364,29866
Obesity among adults,43614,0.409,29866
Current asthma among adults,43615,0.117,39449
Visits to doctor for routine checkup within the past year among adults,43615,0.815,39449
Depression among adults,43615,0.263,39449
Housing insecurity in the past 12 months among adults,43615,0.148,39449
Feeling socially isolated among adults,43615,0.375,39449
Obesity among adults,43615,0.413,39449
Current asthma among adults,43616,0.105,20480
Visits to doctor for routine checkup within the past year among adults,43616,0.81,20480
Depression among adults,43616,0.261,20480
Housing insecurity in the past 12 months among adults,43616,0.094,20480
Feeling socially isolated among adults,43616,0.35,20480
Obesity among adults,43616,0.374,20480
Current asthma among adults,43617,0.097,7659
Visits to doctor for routine checkup within the past year among adults,43617,0.824,7659
Depression among adults,43617,0.237,7659
Housing insecurity in the past 12 months among adults,43617,0.069,7659
Feeling socially isolated among adults,43617,0.335,7659
Obesity among adults,43617,0.336,7659
Current asthma among adults,43619,0.115,7454
Visits to doctor for routine checkup within the past year among adults,43619,0.783,7454
Depression among adults,43619,0.259,7454
Housing insecurity in the past 12 months among adults,43619,0.101,7454
Feeling socially isolated among adults,43619,0.316,7454
Obesity among adults,43619,0.369,7454
Current asthma among adults,43620,0.136,5019
Visits to doctor for routine checkup within the past year among adults,43620,0.827,5019
Depression among adults,43620,0.264,5019
Housing insecurity in the past 12 months among adults,43620,0.268,5019
Feeling socially isolated among adults,43620,0.392,5019
Obesity among adults,43620,0.519,5019
Current asthma among adults,43623,0.109,20320
Visits to doctor for routine checkup within the past year among adults,43623,0.813,20320
Depression among adults,43623,0.266,20320
Housing insecurity in the past 12 months among adults,43623,0.107,20320
Feeling socially isolated among adults,43623,0.357,20320
Obesity among adults,43623,0.382,20320
Current asthma among adults,43701,0.115,55361
Visits to doctor for routine checkup within the past year among adults,43701,0.801,55361
Depression among adults,43701,0.263,55361
Housing insecurity in the past 12 months among adults,43701,0.124,55361
Feeling socially isolated among adults,43701,0.341,55361
Obesity among adults,43701,0.427,55361
Current asthma among adults,43711,0.104,87
Visits to doctor for routine checkup within the past year among adults,43711,0.745,87
Depression among adults,43711,0.256,87
Housing insecurity in the past 12 months among adults,43711,0.128,87
Feeling socially isolated among adults,43711,0.338,87
Obesity among adults,43711,0.449,87
Current asthma among adults,43713,0.116,7227
Visits to doctor for routine checkup within the past year among adults,43713,0.796,7227
Depression among adults,43713,0.276,7227
Housing insecurity in the past 12 months among adults,43713,0.114,7227
Feeling socially isolated among adults,43713,0.348,7227
Obesity among adults,43713,0.422,7227
Current asthma among adults,43716,0.12,1806
Visits to doctor for routine checkup within the past year among adults,43716,0.788,1806
Depression among adults,43716,0.278,1806
Housing insecurity in the past 12 months among adults,43716,0.127,1806
Feeling socially isolated among adults,43716,0.348,1806
Obesity among adults,43716,0.427,1806
Current asthma among adults,43717,0.113,156
Visits to doctor for routine checkup within the past year among adults,43717,0.786,156
Depression among adults,43717,0.265,156
Housing insecurity in the past 12 months among adults,43717,0.092,156
Feeling socially isolated among adults,43717,0.328,156
Obesity among adults,43717,0.42,156
Current asthma among adults,43718,0.115,3049
Visits to doctor for routine checkup within the past year among adults,43718,0.791,3049
Depression among adults,43718,0.272,3049
Housing insecurity in the past 12 months among adults,43718,0.106,3049
Feeling socially isolated among adults,43718,0.34,3049
Obesity among adults,43718,0.42,3049
Current asthma among adults,43719,0.116,2319
Visits to doctor for routine checkup within the past year among adults,43719,0.787,2319
Depression among adults,43719,0.279,2319
Housing insecurity in the past 12 months among adults,43719,0.113,2319
Feeling socially isolated among adults,43719,0.347,2319
Obesity among adults,43719,0.433,2319
Current asthma among adults,43720,0.108,1304
Visits to doctor for routine checkup within the past year among adults,43720,0.798,1304
Depression among adults,43720,0.25,1304
Housing insecurity in the past 12 months among adults,43720,0.106,1304
Feeling socially isolated among adults,43720,0.333,1304
Obesity among adults,43720,0.429,1304
Current asthma among adults,43721,0.112,140
Visits to doctor for routine checkup within the past year among adults,43721,0.751,140
Depression among adults,43721,0.277,140
Housing insecurity in the past 12 months among adults,43721,0.121,140
Feeling socially isolated among adults,43721,0.344,140
Obesity among adults,43721,0.369,140
Current asthma among adults,43722,0.11,324
Visits to doctor for routine checkup within the past year among adults,43722,0.808,324
Depression among adults,43722,0.276,324
Housing insecurity in the past 12 months among adults,43722,0.132,324
Feeling socially isolated among adults,43722,0.344,324
Obesity among adults,43722,0.416,324
Current asthma among adults,43723,0.119,4671
Visits to doctor for routine checkup within the past year among adults,43723,0.792,4671
Depression among adults,43723,0.301,4671
Housing insecurity in the past 12 months among adults,43723,0.119,4671
Feeling socially isolated among adults,43723,0.343,4671
Obesity among adults,43723,0.414,4671
Current asthma among adults,43724,0.109,8865
Visits to doctor for routine checkup within the past year among adults,43724,0.757,8865
Depression among adults,43724,0.258,8865
Housing insecurity in the past 12 months among adults,43724,0.152,8865
Feeling socially isolated among adults,43724,0.34,8865
Obesity among adults,43724,0.469,8865
Current asthma among adults,43725,0.119,19520
Visits to doctor for routine checkup within the past year among adults,43725,0.803,19520
Depression among adults,43725,0.293,19520
Housing insecurity in the past 12 months among adults,43725,0.127,19520
Feeling socially isolated among adults,43725,0.343,19520
Obesity among adults,43725,0.415,19520
Current asthma among adults,43727,0.104,1517
Visits to doctor for routine checkup within the past year among adults,43727,0.806,1517
Depression among adults,43727,0.243,1517
Housing insecurity in the past 12 months among adults,43727,0.097,1517
Feeling socially isolated among adults,43727,0.332,1517
Obesity among adults,43727,0.386,1517
Current asthma among adults,43728,0.127,1072
Visits to doctor for routine checkup within the past year among adults,43728,0.796,1072
Depression among adults,43728,0.264,1072
Housing insecurity in the past 12 months among adults,43728,0.175,1072
Feeling socially isolated among adults,43728,0.353,1072
Obesity among adults,43728,0.46,1072
Current asthma among adults,43730,0.116,2277
Visits to doctor for routine checkup within the past year among adults,43730,0.782,2277
Depression among adults,43730,0.271,2277
Housing insecurity in the past 12 months among adults,43730,0.117,2277
Feeling socially isolated among adults,43730,0.32,2277
Obesity among adults,43730,0.44,2277
Current asthma among adults,43731,0.122,5200
Visits to doctor for routine checkup within the past year among adults,43731,0.78,5200
Depression among adults,43731,0.283,5200
Housing insecurity in the past 12 months among adults,43731,0.137,5200
Feeling socially isolated among adults,43731,0.336,5200
Obesity among adults,43731,0.441,5200
Current asthma among adults,43732,0.113,1648
Visits to doctor for routine checkup within the past year among adults,43732,0.803,1648
Depression among adults,43732,0.278,1648
Housing insecurity in the past 12 months among adults,43732,0.104,1648
Feeling socially isolated among adults,43732,0.333,1648
Obesity among adults,43732,0.412,1648
Current asthma among adults,43734,0.107,1212
Visits to doctor for routine checkup within the past year among adults,43734,0.809,1212
Depression among adults,43734,0.251,1212
Housing insecurity in the past 12 months among adults,43734,0.106,1212
Feeling socially isolated among adults,43734,0.34,1212
Obesity among adults,43734,0.386,1212
Current asthma among adults,43735,0.112,382
Visits to doctor for routine checkup within the past year among adults,43735,0.793,382
Depression among adults,43735,0.265,382
Housing insecurity in the past 12 months among adults,43735,0.112,382
Obesity among adults,43767,0.408,1425
Feeling socially isolated among adults,43735,0.347,382
Obesity among adults,43735,0.4,382
Current asthma among adults,43738,0.117,73
Visits to doctor for routine checkup within the past year among adults,43738,0.791,73
Depression among adults,43738,0.271,73
Housing insecurity in the past 12 months among adults,43738,0.103,73
Feeling socially isolated among adults,43738,0.357,73
Obesity among adults,43738,0.402,73
Current asthma among adults,43739,0.112,2380
Visits to doctor for routine checkup within the past year among adults,43739,0.778,2380
Depression among adults,43739,0.263,2380
Housing insecurity in the past 12 months among adults,43739,0.11,2380
Feeling socially isolated among adults,43739,0.319,2380
Obesity among adults,43739,0.4,2380
Current asthma among adults,43740,0.109,220
Visits to doctor for routine checkup within the past year among adults,43740,0.791,220
Depression among adults,43740,0.258,220
Housing insecurity in the past 12 months among adults,43740,0.076,220
Feeling socially isolated among adults,43740,0.318,220
Obesity among adults,43740,0.356,220
Current asthma among adults,43746,0.107,1261
Visits to doctor for routine checkup within the past year among adults,43746,0.796,1261
Depression among adults,43746,0.251,1261
Housing insecurity in the past 12 months among adults,43746,0.114,1261
Feeling socially isolated among adults,43746,0.344,1261
Obesity among adults,43746,0.399,1261
Current asthma among adults,43747,0.114,1229
Visits to doctor for routine checkup within the past year among adults,43747,0.792,1229
Depression among adults,43747,0.27,1229
Housing insecurity in the past 12 months among adults,43747,0.115,1229
Feeling socially isolated among adults,43747,0.338,1229
Obesity among adults,43747,0.422,1229
Current asthma among adults,43748,0.112,2711
Visits to doctor for routine checkup within the past year among adults,43748,0.783,2711
Depression among adults,43748,0.266,2711
Housing insecurity in the past 12 months among adults,43748,0.101,2711
Feeling socially isolated among adults,43748,0.312,2711
Obesity among adults,43748,0.421,2711
Current asthma among adults,43749,0.112,2308
Visits to doctor for routine checkup within the past year among adults,43749,0.8,2308
Depression among adults,43749,0.273,2308
Housing insecurity in the past 12 months among adults,43749,0.104,2308
Feeling socially isolated among adults,43749,0.334,2308
Obesity among adults,43749,0.395,2308
Current asthma among adults,43750,0.118,145
Visits to doctor for routine checkup within the past year among adults,43750,0.802,145
Depression among adults,43750,0.3,145
Housing insecurity in the past 12 months among adults,43750,0.111,145
Feeling socially isolated among adults,43750,0.356,145
Obesity among adults,43750,0.393,145
Current asthma among adults,43754,0.117,1318
Visits to doctor for routine checkup within the past year among adults,43754,0.784,1318
Depression among adults,43754,0.277,1318
Housing insecurity in the past 12 months among adults,43754,0.12,1318
Feeling socially isolated among adults,43754,0.333,1318
Obesity among adults,43754,0.43,1318
Current asthma among adults,43755,0.114,1732
Visits to doctor for routine checkup within the past year among adults,43755,0.807,1732
Depression among adults,43755,0.281,1732
Housing insecurity in the past 12 months among adults,43755,0.1,1732
Feeling socially isolated among adults,43755,0.331,1732
Obesity among adults,43755,0.398,1732
Current asthma among adults,43756,0.117,4909
Visits to doctor for routine checkup within the past year among adults,43756,0.805,4909
Depression among adults,43756,0.263,4909
Housing insecurity in the past 12 months among adults,43756,0.119,4909
Feeling socially isolated among adults,43756,0.326,4909
Obesity among adults,43756,0.429,4909
Current asthma among adults,43758,0.115,3000
Visits to doctor for routine checkup within the past year among adults,43758,0.787,3000
Depression among adults,43758,0.265,3000
Housing insecurity in the past 12 months among adults,43758,0.125,3000
Feeling socially isolated among adults,43758,0.337,3000
Obesity among adults,43758,0.428,3000
Current asthma among adults,43759,0.116,235
Visits to doctor for routine checkup within the past year among adults,43759,0.787,235
Depression among adults,43759,0.281,235
Housing insecurity in the past 12 months among adults,43759,0.087,235
Feeling socially isolated among adults,43759,0.345,235
Obesity among adults,43759,0.402,235
Current asthma among adults,43760,0.11,1949
Visits to doctor for routine checkup within the past year among adults,43760,0.788,1949
Depression among adults,43760,0.256,1949
Housing insecurity in the past 12 months among adults,43760,0.101,1949
Feeling socially isolated among adults,43760,0.323,1949
Obesity among adults,43760,0.409,1949
Current asthma among adults,43762,0.109,5346
Visits to doctor for routine checkup within the past year among adults,43762,0.781,5346
Depression among adults,43762,0.27,5346
Housing insecurity in the past 12 months among adults,43762,0.09,5346
Feeling socially isolated among adults,43762,0.353,5346
Obesity among adults,43762,0.369,5346
Current asthma among adults,43764,0.121,8177
Visits to doctor for routine checkup within the past year among adults,43764,0.781,8177
Depression among adults,43764,0.282,8177
Housing insecurity in the past 12 months among adults,43764,0.132,8177
Feeling socially isolated among adults,43764,0.325,8177
Obesity among adults,43764,0.45,8177
Current asthma among adults,43766,0.116,1492
Visits to doctor for routine checkup within the past year among adults,43766,0.782,1492
Depression among adults,43766,0.269,1492
Housing insecurity in the past 12 months among adults,43766,0.118,1492
Feeling socially isolated among adults,43766,0.316,1492
Obesity among adults,43766,0.438,1492
Current asthma among adults,43767,0.107,1425
Visits to doctor for routine checkup within the past year among adults,43767,0.807,1425
Depression among adults,43767,0.249,1425
Housing insecurity in the past 12 months among adults,43767,0.097,1425
Feeling socially isolated among adults,43767,0.324,1425
Current asthma among adults,43768,0.11,223
Visits to doctor for routine checkup within the past year among adults,43768,0.797,223
Depression among adults,43768,0.276,223
Housing insecurity in the past 12 months among adults,43768,0.11,223
Feeling socially isolated among adults,43768,0.348,223
Obesity among adults,43768,0.381,223
Current asthma among adults,43771,0.113,1796
Visits to doctor for routine checkup within the past year among adults,43771,0.799,1796
Depression among adults,43771,0.263,1796
Housing insecurity in the past 12 months among adults,43771,0.129,1796
Feeling socially isolated among adults,43771,0.347,1796
Obesity among adults,43771,0.43,1796
Current asthma among adults,43772,0.112,1811
Visits to doctor for routine checkup within the past year among adults,43772,0.794,1811
Depression among adults,43772,0.276,1811
Housing insecurity in the past 12 months among adults,43772,0.106,1811
Feeling socially isolated among adults,43772,0.333,1811
Obesity among adults,43772,0.403,1811
Current asthma among adults,43773,0.116,2964
Visits to doctor for routine checkup within the past year among adults,43773,0.779,2964
Depression among adults,43773,0.287,2964
Housing insecurity in the past 12 months among adults,43773,0.118,2964
Feeling socially isolated among adults,43773,0.347,2964
Obesity among adults,43773,0.413,2964
Current asthma among adults,43777,0.118,4568
Visits to doctor for routine checkup within the past year among adults,43777,0.785,4568
Depression among adults,43777,0.275,4568
Housing insecurity in the past 12 months among adults,43777,0.13,4568
Feeling socially isolated among adults,43777,0.339,4568
Obesity among adults,43777,0.44,4568
Current asthma among adults,43778,0.113,1428
Visits to doctor for routine checkup within the past year among adults,43778,0.791,1428
Depression among adults,43778,0.284,1428
Housing insecurity in the past 12 months among adults,43778,0.117,1428
Feeling socially isolated among adults,43778,0.349,1428
Obesity among adults,43778,0.4,1428
Current asthma among adults,43779,0.116,888
Visits to doctor for routine checkup within the past year among adults,43779,0.791,888
Depression among adults,43779,0.274,888
Housing insecurity in the past 12 months among adults,43779,0.103,888
Feeling socially isolated among adults,43779,0.315,888
Obesity among adults,43779,0.446,888
Current asthma among adults,43780,0.113,2235
Visits to doctor for routine checkup within the past year among adults,43780,0.808,2235
Depression among adults,43780,0.282,2235
Housing insecurity in the past 12 months among adults,43780,0.099,2235
Feeling socially isolated among adults,43780,0.325,2235
Obesity among adults,43780,0.406,2235
Current asthma among adults,43782,0.117,727
Visits to doctor for routine checkup within the past year among adults,43782,0.781,727
Depression among adults,43782,0.272,727
Housing insecurity in the past 12 months among adults,43782,0.131,727
Feeling socially isolated among adults,43782,0.337,727
Obesity among adults,43782,0.432,727
Current asthma among adults,43783,0.112,4743
Visits to doctor for routine checkup within the past year among adults,43783,0.794,4743
Depression among adults,43783,0.259,4743
Housing insecurity in the past 12 months among adults,43783,0.116,4743
Feeling socially isolated among adults,43783,0.321,4743
Obesity among adults,43783,0.428,4743
Current asthma among adults,43787,0.12,2815
Visits to doctor for routine checkup within the past year among adults,43787,0.792,2815
Depression among adults,43787,0.274,2815
Housing insecurity in the past 12 months among adults,43787,0.129,2815
Feeling socially isolated among adults,43787,0.336,2815
Obesity among adults,43787,0.445,2815
Current asthma among adults,43788,0.115,816
Visits to doctor for routine checkup within the past year among adults,43788,0.782,816
Depression among adults,43788,0.275,816
Housing insecurity in the past 12 months among adults,43788,0.105,816
Feeling socially isolated among adults,43788,0.325,816
Obesity among adults,43788,0.428,816
Current asthma among adults,43791,0.095,133
Visits to doctor for routine checkup within the past year among adults,43791,0.819,133
Depression among adults,43791,0.213,133
Housing insecurity in the past 12 months among adults,43791,0.109,133
Feeling socially isolated among adults,43791,0.325,133
Obesity among adults,43791,0.424,133
Current asthma among adults,43793,0.118,4829
Visits to doctor for routine checkup within the past year among adults,43793,0.797,4829
Depression among adults,43793,0.272,4829
Housing insecurity in the past 12 months among adults,43793,0.118,4829
Feeling socially isolated among adults,43793,0.33,4829
Obesity among adults,43793,0.434,4829
Current asthma among adults,43802,0.119,1334
Visits to doctor for routine checkup within the past year among adults,43802,0.777,1334
Depression among adults,43802,0.282,1334
Housing insecurity in the past 12 months among adults,43802,0.109,1334
Feeling socially isolated among adults,43802,0.347,1334
Obesity among adults,43802,0.42,1334
Current asthma among adults,43804,0.128,4045
Visits to doctor for routine checkup within the past year among adults,43804,0.726,4045
Depression among adults,43804,0.302,4045
Housing insecurity in the past 12 months among adults,43804,0.155,4045
Feeling socially isolated among adults,43804,0.386,4045
Obesity among adults,43804,0.409,4045
Current asthma among adults,43805,0.115,66
Visits to doctor for routine checkup within the past year among adults,43805,0.763,66
Depression among adults,43805,0.27,66
Housing insecurity in the past 12 months among adults,43805,0.122,66
Feeling socially isolated among adults,43805,0.312,66
Obesity among adults,43805,0.395,66
Current asthma among adults,43811,0.113,763
Visits to doctor for routine checkup within the past year among adults,43811,0.768,763
Depression among adults,43811,0.26,763
Housing insecurity in the past 12 months among adults,43811,0.109,763
Feeling socially isolated among adults,43811,0.32,763
Obesity among adults,43811,0.386,763
Current asthma among adults,43812,0.118,18669
Visits to doctor for routine checkup within the past year among adults,43812,0.778,18669
Depression among adults,43812,0.267,18669
Housing insecurity in the past 12 months among adults,43812,0.126,18669
Feeling socially isolated among adults,43812,0.318,18669
Obesity among adults,43812,0.413,18669
Current asthma among adults,43821,0.113,4557
Visits to doctor for routine checkup within the past year among adults,43821,0.787,4557
Depression among adults,43821,0.265,4557
Housing insecurity in the past 12 months among adults,43821,0.107,4557
Feeling socially isolated among adults,43821,0.335,4557
Obesity among adults,43821,0.407,4557
Current asthma among adults,43822,0.114,4668
Visits to doctor for routine checkup within the past year among adults,43822,0.788,4668
Depression among adults,43822,0.267,4668
Housing insecurity in the past 12 months among adults,43822,0.107,4668
Feeling socially isolated among adults,43822,0.329,4668
Obesity among adults,43822,0.409,4668
Current asthma among adults,43824,0.124,3991
Visits to doctor for routine checkup within the past year among adults,43824,0.725,3991
Depression among adults,43824,0.294,3991
Housing insecurity in the past 12 months among adults,43824,0.118,3991
Feeling socially isolated among adults,43824,0.338,3991
Obesity among adults,43824,0.392,3991
Current asthma among adults,43830,0.112,6593
Visits to doctor for routine checkup within the past year among adults,43830,0.794,6593
Depression among adults,43830,0.262,6593
Housing insecurity in the past 12 months among adults,43830,0.098,6593
Feeling socially isolated among adults,43830,0.331,6593
Obesity among adults,43830,0.407,6593
Current asthma among adults,43832,0.119,7341
Visits to doctor for routine checkup within the past year among adults,43832,0.795,7341
Depression among adults,43832,0.259,7341
Housing insecurity in the past 12 months among adults,43832,0.129,7341
Feeling socially isolated among adults,43832,0.32,7341
Obesity among adults,43832,0.448,7341
Current asthma among adults,43836,0.106,107
Visits to doctor for routine checkup within the past year among adults,43836,0.759,107
Depression among adults,43836,0.246,107
Housing insecurity in the past 12 months among adults,43836,0.093,107
Feeling socially isolated among adults,43836,0.315,107
Obesity among adults,43836,0.379,107
Current asthma among adults,43837,0.118,1784
Visits to doctor for routine checkup within the past year among adults,43837,0.796,1784
Depression among adults,43837,0.256,1784
Housing insecurity in the past 12 months among adults,43837,0.111,1784
Feeling socially isolated among adults,43837,0.316,1784
Obesity among adults,43837,0.452,1784
Current asthma among adults,43840,0.114,1279
Visits to doctor for routine checkup within the past year among adults,43840,0.794,1279
Depression among adults,43840,0.249,1279
Housing insecurity in the past 12 months among adults,43840,0.105,1279
Feeling socially isolated among adults,43840,0.314,1279
Obesity among adults,43840,0.436,1279
Current asthma among adults,43842,0.104,345
Visits to doctor for routine checkup within the past year among adults,43842,0.807,345
Depression among adults,43842,0.24,345
Housing insecurity in the past 12 months among adults,43842,0.094,345
Feeling socially isolated among adults,43842,0.322,345
