Measure,ZipCode,Ratio,TotalPopulation
Current asthma among adults,77616,0.108,656
Visits to doctor for routine checkup within the past year among adults,77616,0.753,656
Depression among adults,77616,0.27,656
Housing insecurity in the past 12 months among adults,77616,0.157,656
Feeling socially isolated among adults,77616,0.35,656
Obesity among adults,77616,0.406,656
Current asthma among adults,77617,0.114,125
Visits to doctor for routine checkup within the past year among adults,77617,0.745,125
Depression among adults,77617,0.273,125
Housing insecurity in the past 12 months among adults,77617,0.122,125
Feeling socially isolated among adults,77617,0.318,125
Obesity among adults,77617,0.446,125
Current asthma among adults,77619,0.1,17349
Visits to doctor for routine checkup within the past year among adults,77619,0.729,17349
Depression among adults,77619,0.236,17349
Housing insecurity in the past 12 months among adults,77619,0.147,17349
Feeling socially isolated among adults,77619,0.344,17349
Obesity among adults,77619,0.348,17349
Current asthma among adults,77622,0.102,1384
Visits to doctor for routine checkup within the past year among adults,77622,0.731,1384
Depression among adults,77622,0.249,1384
Housing insecurity in the past 12 months among adults,77622,0.118,1384
Feeling socially isolated among adults,77622,0.34,1384
Obesity among adults,77622,0.332,1384
Current asthma among adults,77623,0.106,340
Visits to doctor for routine checkup within the past year among adults,77623,0.758,340
Depression among adults,77623,0.25,340
Housing insecurity in the past 12 months among adults,77623,0.109,340
Feeling socially isolated among adults,77623,0.314,340
Obesity among adults,77623,0.418,340
Current asthma among adults,77624,0.121,535
Visits to doctor for routine checkup within the past year among adults,77624,0.776,535
Depression among adults,77624,0.259,535
Housing insecurity in the past 12 months among adults,77624,0.195,535
Feeling socially isolated among adults,77624,0.343,535
Obesity among adults,77624,0.446,535
Current asthma among adults,77625,0.107,8599
Visits to doctor for routine checkup within the past year among adults,77625,0.75,8599
Depression among adults,77625,0.251,8599
Housing insecurity in the past 12 months among adults,77625,0.138,8599
Feeling socially isolated among adults,77625,0.333,8599
Obesity among adults,77625,0.381,8599
Current asthma among adults,77627,0.096,23296
Visits to doctor for routine checkup within the past year among adults,77627,0.731,23296
Depression among adults,77627,0.233,23296
Housing insecurity in the past 12 months among adults,77627,0.122,23296
Feeling socially isolated among adults,77627,0.339,23296
Obesity among adults,77627,0.32,23296
Current asthma among adults,77629,0.096,868
Visits to doctor for routine checkup within the past year among adults,77629,0.754,868
Depression among adults,77629,0.216,868
Housing insecurity in the past 12 months among adults,77629,0.124,868
Feeling socially isolated among adults,77629,0.328,868
Obesity among adults,77629,0.331,868
Current asthma among adults,77630,0.108,29317
Visits to doctor for routine checkup within the past year among adults,77630,0.754,29317
Depression among adults,77630,0.249,29317
Housing insecurity in the past 12 months among adults,77630,0.175,29317
Feeling socially isolated among adults,77630,0.344,29317
Obesity among adults,77630,0.451,29317
Current asthma among adults,77632,0.102,22487
Visits to doctor for routine checkup within the past year among adults,77632,0.745,22487
Depression among adults,77632,0.256,22487
Housing insecurity in the past 12 months among adults,77632,0.119,22487
Feeling socially isolated among adults,77632,0.333,22487
Obesity among adults,77632,0.403,22487
Current asthma among adults,77640,0.11,16618
Visits to doctor for routine checkup within the past year among adults,77640,0.774,16618
Depression among adults,77640,0.202,16618
Housing insecurity in the past 12 months among adults,77640,0.239,16618
Feeling socially isolated among adults,77640,0.362,16618
Obesity among adults,77640,0.413,16618
Current asthma among adults,77642,0.109,39017
Visits to doctor for routine checkup within the past year among adults,77642,0.734,39017
Depression among adults,77642,0.218,39017
Housing insecurity in the past 12 months among adults,77642,0.27,39017
Feeling socially isolated among adults,77642,0.376,39017
Obesity among adults,77642,0.41,39017
Current asthma among adults,77650,0.103,2304
Visits to doctor for routine checkup within the past year among adults,77650,0.776,2304
Depression among adults,77650,0.24,2304
Housing insecurity in the past 12 months among adults,77650,0.116,2304
Feeling socially isolated among adults,77650,0.31,2304
Obesity among adults,77650,0.432,2304
Current asthma among adults,77651,0.095,13705
Visits to doctor for routine checkup within the past year among adults,77651,0.739,13705
Depression among adults,77651,0.231,13705
Housing insecurity in the past 12 months among adults,77651,0.107,13705
Feeling socially isolated among adults,77651,0.33,13705
Obesity among adults,77651,0.308,13705
Current asthma among adults,77655,0.094,291
Visits to doctor for routine checkup within the past year among adults,77655,0.764,291
Depression among adults,77655,0.215,291
Housing insecurity in the past 12 months among adults,77655,0.123,291
Feeling socially isolated among adults,77655,0.347,291
Obesity among adults,77655,0.305,291
Current asthma among adults,77656,0.105,17199
Visits to doctor for routine checkup within the past year among adults,77656,0.76,17199
