Id,ZipCode,Longitude,Latitude
99983,19013,-75.39686,39.83475
99984,19050,-75.28166,39.95143
99985,19026,-75.31564,39.95287
99986,19026,-75.29776,39.94347
99987,19013,-75.38108,39.84521
99988,19082,-75.2624533,39.960562
99989,19082,-75.2914,39.96816
99990,19082,-75.2568159,39.9617981
99991,19013,-75.358042,39.85252
99992,19082,-75.27367,39.95592
99993,19018,-75.28889,39.92997
99994,19317,-75.54553,39.87551
99995,19050,-75.2664,39.93908
99996,19050,-75.25277,39.93723
99997,19060,-75.497172,39.839841
99998,19008,-75.36322,39.97261
99999,19082,-75.25838,39.95087
100000,19083,-75.322911,39.97161
100001,19074,-75.299222,39.888631
100002,19018,-75.30557,39.93145
100003,19061,-75.44334,39.84336
100004,19018,-75.30101,39.92569
100005,19015,-75.388561,39.8703
100006,19032,-75.283367,39.89151
100007,19063,-75.387389,39.918584
100008,19073,-75.38102,39.98268
100009,19094,-75.3449983,39.8762161
100010,19013,-75.37012,39.86324
100011,19013,-75.35944,39.8486
100012,19082,-75.27499,39.95693
100013,19063,-75.39304,39.91658
100014,19086,-75.3622,39.87698
100015,19026,-75.29482,39.94516
100016,19063,-75.39703,39.93588
100017,19026,-75.283911,39.950651
100018,19082,-75.25957,39.96163
100019,19064,-75.33501,39.91978
100020,19050,-75.27296,39.93855
100021,19013,-75.37839,39.83825
100022,19018,-75.2928,39.93204
100023,19082,-75.275882,39.954381
100024,19082,-75.26245,39.96037
100025,19013,-75.36208,39.85145
100026,19074,-75.29668,39.89254
100027,19050,-75.259942,39.94025
100028,19083,-75.299991,39.98058
100029,19013,-75.396558,39.833728
100030,19026,-75.299826,39.949274
100031,19014,-75.428171,39.86687
100032,19023,-75.25945,39.91922
100033,19023,-75.25549,39.91562
100034,19008,-75.35346,39.96436
100035,19023,-75.24804,39.91671
100036,19082,-75.2623227,39.9609733
100037,19142,-75.22705,39.92405
100038,19143,-75.227351,39.936561
100039,19148,-75.1509,39.91877
100040,19147,-75.152468,39.934347
100041,19154,-74.97658,40.08041
100042,19143,-75.23574,39.94888
100043,19144,-75.17222,40.04261
100044,19140,-75.14819,40.00357
100045,19148,-75.15482,39.91711
100046,19139,-75.241431,39.95869
100047,19104,-75.20549,39.963
100048,19149,-75.06534,40.04477
100049,19141,-75.145141,40.048371
100050,19148,-75.1599636,39.9258778
100051,19139,-75.224651,39.956841
100052,19149,-75.071301,40.045821
100053,19122,-75.152881,39.972411
100054,19153,-75.229272,39.916521
100055,19140,-75.15738,40.01863
100056,19122,-75.151702,39.985701
100057,19151,-75.26614,39.97709
100058,19131,-75.21526,39.97258
100059,19149,-75.075847,40.030938
100060,19121,-75.17566,39.98282
100061,19149,-75.066492,40.04479
100062,19144,-75.16804,40.0258
100063,19139,-75.240821,39.96044
100064,19129,-75.169472,40.0058
100065,19121,-75.170241,39.98331
100066,19131,-75.23589,39.9738
100067,19139,-75.21449,39.95541
100068,19120,-75.11925,40.04362
100069,19118,-75.214,40.07988
100070,19120,-75.1244,40.02203
100071,19133,-75.14538,39.98932
100072,19104,-75.21131,39.9555
100073,19134,-75.120827,39.995843
100074,19134,-75.104422,39.99613
100075,19106,-75.149581,39.946211
100076,19122,-75.141982,39.975301
100077,19139,-75.213712,39.96255
100078,19139,-75.24397,39.95706
100079,19139,-75.236592,39.958321
100080,19121,-75.18071,39.98433
100081,19135,-75.042771,40.026211
100082,19139,-75.24075,39.96107
100083,19139,-75.2258,39.96032
100084,19129,-75.18462,40.00668
100085,19134,-75.1158183,39.9930952
100086,19135,-75.050872,40.022
100087,19139,-75.22427,39.95806
100088,19148,-75.160121,39.92123
100089,19140,-75.16077,40.00912
100090,19148,-75.16343,39.91538
100091,19121,-75.178532,39.975731
100092,19120,-75.13422,40.03008
100093,19121,-75.16548,39.97985
100094,19143,-75.242042,39.95588
100095,19139,-75.223331,39.95977
100096,19120,-75.12102,40.02061
100097,19120,-75.121829,40.01953
100098,19151,-75.24139,39.97272
100099,19114,-75.008412,40.069751
100100,19144,-75.1748225,40.0419633
100101,19135,-75.060031,40.017281
100102,19122,-75.1349,39.98083
100103,19103,-75.17589,39.95877
100104,19141,-75.14719,40.02623
100105,19138,-75.155502,40.051861
100106,19125,-75.130982,39.978091
100107,19125,-75.130182,39.974821
100108,19115,-75.04523,40.09977
100109,19150,-75.17253,40.08023
100110,19144,-75.170315,40.015908
100111,19121,-75.17188,39.98228
100112,19148,-75.16567,39.91736
100113,19151,-75.24773,39.96898
100114,19124,-75.106092,40.032345
100115,19124,-75.11035,40.01205
100116,19144,-75.17946,40.02968
100117,19149,-75.047261,40.037831
100118,19111,-75.08602,40.0597
100119,19122,-75.14154,39.97361
100120,19149,-75.071009,40.046088
100121,19149,-75.073,40.0444
100122,19148,-75.15304,39.92208
100123,19124,-75.07945,40.02108
100124,19145,-75.17131,39.92699
100125,19130,-75.17302,39.96221
100126,19131,-75.214072,39.978011
100127,19123,-75.156992,39.96087
100128,19120,-75.12944,40.0377
100129,19120,-75.11715,40.02089
100130,19103,-75.17536,39.9561
